0.1	0.175	0.221154	23.1388
0.3	0.225	0.209108	39.5526
0.25	0.225	0.210706	53.8329
0.375	0.275	0.205166	69.6715
0.375	0.375	0.20219	90.7075
0.1	0.3	0.213452	108.198
0.375	0.175	0.209519	127.48
0.225	0.275	0.209238	140.263
0.2	0.225	0.212598	154.305
0.4	0.225	0.206562	171.927
0.325	0.275	0.206317	192.147
0.275	0.375	0.204293	206.193
0.35	0.325	0.204047	228.005
0.25	0.325	0.206515	246.452
0.325	0.175	0.210928	264.231
0.125	0.275	0.213394	280.298
0.175	0.175	0.216783	300.342
0.225	0.175	0.214492	323.962
0.125	0.375	0.209153	339.417
0.175	0.275	0.21112	358.917
0.35	0.225	0.207741	379.387
0.175	0.375	0.207223	396.991
0.15	0.225	0.214865	416.124
0.4	0.325	0.203068	435.18
0.125	0.175	0.219548	451.799
0.3	0.325	0.205184	467.881
0.225	0.375	0.205629	486.288
0.2	0.325	0.208094	501.951
0.325	0.375	0.203161	521.481
0.15	0.325	0.209989	539.822
0.275	0.275	0.207659	573.862
0.275	0.175	0.212566	592.639
0.25	0.25	0.209506	22.4159
0.375	0.3	0.204315	37.6069
0.375	0.2	0.208265	59.0735
0.375	0.4	0.201603	78.7359
0.1	0.2	2.53502	157.301
0.3	0.25	0.207984	171.141
0.35	0.25	0.341939	191.302
0.125	0.4	0.346323	210.277
0.125	0.3	0.352501	225.485
0.175	0.2	0.356676	241.982
0.225	0.2	0.352853	258.609
0.175	0.3	0.348667	276.139
0.325	0.2	0.346692	296.713
0.325	0.3	0.340171	314.131
0.2	0.25	0.350488	333.703
0.25	0.35	0.341211	351.604
0.4	0.25	0.339744	376.584
0.225	0.3	0.345415	400.415
0.275	0.4	0.337696	419.912
0.35	0.35	0.336641	443.477
0.175	0.4	0.342977	467.246
0.275	0.3	0.342615	486.492
0.325	0.4	0.335563	504.368
0.15	0.35	0.347299	521.477
0.125	0.2	0.361186	534.59
0.225	0.4	0.34014	552.987
0.3	0.35	0.338777	567.945
0.2	0.35	0.344017	585.143
0.4	0.35	0.334748	618.72
0.15	0.25	0.354295	635.806
0.275	0.2	0.349562	653.547
0.1	0.325	0.212297	667.426
0.375	0.225	0.207131	21.078
0.35	0.275	0.276112	37.8671
0.4	0.175	0.208887	54.9232
0.1	0.225	0.217624	71.619
0.25	0.275	0.208415	83.9649
0.375	0.325	0.20354	99.9935
0.3	0.275	0.206962	115.227
0.15	0.175	0.292714	128.712
0.125	0.325	0.284061	140.997
0.225	0.225	0.284125	154.109
0.175	0.225	0.287025	168.558
0.175	0.325	0.281134	185.573
0.325	0.225	0.27956	202.872
0.25	0.375	0.275598	223.176
0.35	0.375	0.272271	235.62
0.325	0.325	0.274826	249.166
0.2	0.275	0.282434	263.249
0.2	0.175	0.289224	277.863
0.225	0.325	0.278686	290.804
0.4	0.275	0.274542	310.684
0.3	0.175	0.283791	328.386
0.1	0.35	0.211242	342.229
0.35	0.175	0.281635	359.368
0.275	0.225	0.281668	371.409
0.4	0.375	0.270923	387.298
0.2	0.375	0.277686	404.805
0.3	0.375	0.273814	416.307
0.275	0.325	0.27661	432.796
0.15	0.375	0.280162	452.299
0.125	0.225	0.290499	463.545
0.25	0.175	0.28629	475.056
0.15	0.275	0.285333	485.788
0.35	0.3	0.275022	24.291
0.375	0.25	0.206101	37.4385
0.375	0.35	0.202834	52.6164
0.4	0.2	0.207666	75.1342
0.1	0.25	0.216101	91.6167
0.25	0.3	0.207422	115.674
0.3	0.3	0.206031	135.274
0.15	0.2	0.2906	159.193
0.125	0.35	0.28277	175.687
0.225	0.25	0.282577	188.8
0.175	0.35	0.279954	202.971
0.175	0.25	0.285349	217.834
0.325	0.25	0.27821	233.615
0.35	0.4	0.271501	247.943
0.25	0.4	0.274713	262.678
0.2	0.2	0.287279	277.42
0.325	0.35	0.273882	293.992
0.2	0.3	0.28109	303.836
0.4	0.3	0.273514	322.243
0.225	0.35	0.277599	340.481
0.3	0.2	0.282105	354.664
0.35	0.2	0.280051	366.84
0.275	0.25	0.280227	383.891
0.1	0.375	0.210275	398.707
0.3	0.4	0.27299	412.963
0.2	0.4	0.276728	433.931
0.4	0.4	0.270199	446.877
0.25	0.2	0.284486	466.757
0.125	0.25	0.288668	479.546
0.15	0.4	0.279117	491.134
0.275	0.35	0.2756	503.516
0.15	0.3	0.283871	522.167
0.1	0.4	0.209389	16.8345
0.1	0.275	0.214715	32.3014
Smallest eig: 0.201603 - (0.375, 0.4)
Total time: 2366.31
